Probe Set ID	Gene Symbol	Gene Title
A_23_P156708	TNXB	tenascin XB
A_23_P102731	SMOX	spermine oxidase
A_23_P100074	AVEN	apoptosis, caspase activation inhibitor
A_33_P3309481	PTPRV	protein tyrosine phosphatase, receptor type, V (pseudogene)
A_24_P37712	TEC	tec protein tyrosine kinase
A_23_P113634	CBFB	core-binding factor, beta subunit
A_33_P3391778	RALYL	RALY RNA binding protein-like
A_23_P122924	INHBA	inhibin, beta A
A_23_P110851	TERT	telomerase reverse transcriptase
A_23_P218317	NARF	nuclear prelamin A recognition factor
A_33_P3242919	HNRNPM	heterogeneous nuclear ribonucleoprotein M
A_33_P3346073	SRL	sarcalumenin
A_23_P70328	CENPQ	centromere protein Q
A_24_P358164	RPSA	ribosomal protein SA
A_32_P54137	UQCRH	ubiquinol-cytochrome c reductase hinge protein
A_23_P58132	RHOH	ras homolog gene family, member H
A_23_P34835	LMNA	lamin A/C
A_33_P3408762	LMNA	lamin A/C
A_23_P10291	CTSE	cathepsin E
A_33_P3333054	GOLSYN	Golgi-localized protein
A_23_P55731	CIC	capicua homolog (Drosophila)
A_33_P3370202	OSTN	osteocrin
A_23_P136986	APOOL	apolipoprotein O-like
A_23_P83045	VCP	valosin-containing protein
A_23_P104438	MYPN	myopalladin
A_23_P252062	PPARG	peroxisome proliferator-activated receptor gamma
A_33_P3369336	GCG	glucagon
A_33_P3246733	MNT	MAX binding protein
A_23_P98183	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
A_24_P671164	PRLR	prolactin receptor
A_33_P3246418	MDFI	MyoD family inhibitor
A_33_P3710082	CALCR	calcitonin receptor
A_23_P10506	HPGDS	hematopoietic prostaglandin D synthase
A_24_P69095	ENC1	ectodermal-neural cortex (with BTB-like domain)
A_23_P10291	CTSE	cathepsin E
A_23_P113393	APLN	apelin
A_24_P154948	GARS	glycyl-tRNA synthetase
A_23_P306890	POLI	polymerase (DNA directed) iota
A_33_P3280066	PTRF	polymerase I and transcript release factor
A_23_P110288	GSTCD	glutathione S-transferase, C-terminal domain containing
A_24_P266285	IQCE	IQ motif containing E
A_23_P54041	THTPA	thiamine triphosphatase
A_23_P69537	NMU	neuromedin U
A_23_P110764	MYOT	myotilin
A_32_P109876	PCLO	piccolo (presynaptic cytomatrix protein)
A_23_P212002	NKTR	natural killer-tumor recognition sequence
A_32_P106732	FANCM	Fanconi anemia, complementation group M
A_23_P10385	DTL	denticleless homolog (Drosophila)
A_23_P83838	CA8	carbonic anhydrase VIII
A_23_P103765	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide
A_23_P373568	FUZ	fuzzy homolog (Drosophila)
A_33_P3378659	TARP	TCR gamma alternate reading frame protein
A_23_P36700	TAPBPL	TAP binding protein-like
A_23_P100499	ROGDI	rogdi homolog (Drosophila)
A_23_P117662	HDC	histidine decarboxylase
A_24_P53282	CPD	carboxypeptidase D
A_23_P209694	PAPOLG	poly(A) polymerase gamma
A_23_P97283	PAQR6	progestin and adipoQ receptor family member VI
A_23_P112596	ADK	adenosine kinase
A_33_P3307113	MSMP	microseminoprotein, prostate associated
A_23_P8497	GHRHR	growth hormone releasing hormone receptor
A_23_P98431	HMBS	hydroxymethylbilane synthase
A_23_P100455	MTHFSD	methenyltetrahydrofolate synthetase domain containing
A_24_P40529	TMLHE	trimethyllysine hydroxylase, epsilon
A_23_P206532	PHKB	phosphorylase kinase, beta
A_23_P151294	IFNG	interferon, gamma
A_23_P117157	SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit
A_23_P135769	ACTB	actin, beta
A_23_P101992	MARCO	macrophage receptor with collagenous structure
A_23_P411296	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta
A_23_P105862	FRY	furry homolog (Drosophila)
A_23_P111481	SRRT	serrate RNA effector molecule homolog (Arabidopsis)
A_23_P108376	THADA	thyroid adenoma associated
A_24_P350649	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit
A_23_P126677	DNASE2B	deoxyribonuclease II beta
A_33_P3251984	MRGPRF	MAS-related GPR, member F
A_23_P96331	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)
A_23_P10291	CTSE	cathepsin E
A_24_P940135	CTBS	chitobiase, di-N-acetyl-
A_23_P34637	REN	renin
A_24_P379693	DNPEP	aspartyl aminopeptidase
A_23_P120982	PKDREJ	polycystic kidney disease (polycystin) and REJ homolog (sperm receptor for egg jelly homolog, sea urchin)
A_23_P12053	SPEN	spen homolog, transcriptional regulator (Drosophila)
A_33_P3350863	RETN	resistin
A_23_P115137	HBXIP	hepatitis B virus x interacting protein
A_23_P118061	CKLF	chemokine-like factor
A_33_P3396522	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G
A_24_P397817	LEP	leptin
A_23_P2041	MICALCL	MICAL C-terminal like
A_23_P11214	NKRF	NFKB repressing factor
A_24_P135193	UEVLD	UEV and lactate/malate dehyrogenase domains
A_23_P25994	LGMN	legumain
A_23_P68669	CHODL	chondrolectin
A_23_P94879	F2	coagulation factor II (thrombin)
A_23_P364613	DHDPSL	dihydrodipicolinate synthase-like, mitochondrial
A_24_P140827	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
A_33_P3221999	GSDMB	gasdermin B
A_33_P3338698	IHH	Indian hedgehog homolog (Drosophila)
A_24_P399980	HEPH	hephaestin
A_23_P12405	ESPN	espin
A_23_P102731	SMOX	spermine oxidase
A_24_P926760	NKTR	natural killer-tumor recognition sequence
A_23_P1145	MTPAP	mitochondrial poly(A) polymerase
A_23_P112061	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
A_33_P3389634	CAPG	capping protein (actin filament), gelsolin-like
A_24_P410610	DPYD	dihydropyrimidine dehydrogenase
A_24_P11506	KYNU	kynureninase (L-kynurenine hydrolase)
A_23_P125475	GABRQ	gamma-aminobutyric acid (GABA) receptor, theta
A_23_P123596	GLDC	glycine dehydrogenase (decarboxylating)
A_32_P109922	ZFAT	zinc finger and AT hook domain containing
A_23_P133665	FRK	fyn-related kinase
A_23_P98085	PTEN	phosphatase and tensin homolog
A_23_P117068	SNRPF	small nuclear ribonucleoprotein polypeptide F
A_23_P12405	ESPN	espin
A_23_P151294	IFNG	interferon, gamma
A_23_P75299	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
A_23_P502930	FASTK	Fas-activated serine/threonine kinase
A_23_P5968	SEMG2	semenogelin II
A_23_P204640	NANOG	Nanog homeobox
A_23_P114155	GPKOW	G patch domain and KOW motifs
A_23_P312505	TYR	tyrosinase (oculocutaneous albinism IA)
A_23_P203558	HBB	hemoglobin, beta
A_33_P3398897	QDPR	quinoid dihydropteridine reductase
A_23_P133536	CAPSL	calcyphosine-like
A_23_P105066	ILK	integrin-linked kinase
A_32_P506600	RAN	RAN, member RAS oncogene family
A_23_P117298	F7	coagulation factor VII (serum prothrombin conversion accelerator)
A_23_P137935	MNDA	myeloid cell nuclear differentiation antigen
A_23_P70213	APC	adenomatous polyposis coli
A_24_P12401	VEGFA	vascular endothelial growth factor A
A_23_P102542	AFTPH	aftiphilin
A_32_P397824	FIGN	fidgetin
A_23_P76435	GATC	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)
A_23_P66766	RPAIN	RPA interacting protein
A_24_P108291	IMPACT	Impact homolog (mouse)
A_24_P133253	KITLG	KIT ligand
A_33_P3405168	MMAA	methylmalonic aciduria (cobalamin deficiency) cblA type
A_33_P3366877	LOC100129578	similar to RING zinc finger LIM domain binding protein
A_33_P3371493	TOP1	topoisomerase (DNA) I
A_24_P389994	NADK	NAD kinase
A_23_P113184	FTO	fat mass and obesity associated
A_33_P3371999	TPPP	tubulin polymerization promoting protein
A_24_P84880	LOC148709	actin pseudogene
A_33_P3294986	LIPE	lipase, hormone-sensitive
A_33_P3364582	TNXB	tenascin XB
A_23_P252758	KEL	Kell blood group, metallo-endopeptidase
A_23_P250564	PRKCE	protein kinase C, epsilon
A_23_P400984	PIKFYVE	phosphoinositide kinase, FYVE finger containing
A_24_P111996	HFE	hemochromatosis
A_33_P3299892	UQCRH	ubiquinol-cytochrome c reductase hinge protein
A_33_P3315944	FIGLA	folliculogenesis specific basic helix-loop-helix
A_23_P28105	TSN	translin
A_23_P28886	PCNA	proliferating cell nuclear antigen
A_23_P145694	ASNS	asparagine synthetase
A_33_P3406408	MANBAL	mannosidase, beta A, lysosomal-like
A_23_P118061	CKLF	chemokine-like factor
A_33_P3414058	MEN1	multiple endocrine neoplasia I
A_33_P3296482	PTPRK	protein tyrosine phosphatase, receptor type, K
A_33_P3371910	HNRPLL	heterogeneous nuclear ribonucleoprotein L-like
A_23_P122815	CALU	calumenin
A_23_P103361	LCK	lymphocyte-specific protein tyrosine kinase
A_33_P3299776	NODAL	nodal homolog (mouse)
A_23_P117157	SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit
A_23_P119040	GREB1L	growth regulation by estrogen in breast cancer-like
A_32_P215179	NPIP	nuclear pore complex interacting protein
A_32_P208120	CAMK1D	calcium/calmodulin-dependent protein kinase ID
A_33_P3405743	CRYZ	crystallin, zeta (quinone reductase)
A_24_P387437	CTCFL	CCCTC-binding factor (zinc finger protein)-like
A_32_P157945	DSP	desmoplakin
A_23_P96990	NVL	nuclear VCP-like
A_23_P145197	BYSL	bystin-like
A_32_P231568	RASEF	RAS and EF-hand domain containing
A_33_P3266410	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)
A_23_P105562	VWF	von Willebrand factor
A_33_P3218694	PNN	pinin, desmosome associated protein
A_33_P3411848	CNFN	cornifelin
A_23_P45304	XK	X-linked Kx blood group (McLeod syndrome)
A_23_P113701	PDGFA	platelet-derived growth factor alpha polypeptide
A_24_P80204	MALL	mal, T-cell differentiation protein-like
A_23_P111487	SRRT	serrate RNA effector molecule homolog (Arabidopsis)
A_23_P136589	BRDT	bromodomain, testis-specific
A_23_P47034	HHEX	hematopoietically expressed homeobox
A_23_P92672	OCLN	occludin
A_23_P5551	NCL	nucleolin
A_33_P3385101	TOLLIP	toll interacting protein
A_24_P780052	RPSA	ribosomal protein SA
A_23_P108948	MREG	melanoregulin
A_23_P20852	AUH	AU RNA binding protein/enoyl-Coenzyme A hydratase
A_23_P98085	PTEN	phosphatase and tensin homolog
A_23_P31725	BLK	B lymphoid tyrosine kinase
A_24_P551028	SPOPL	speckle-type POZ protein-like
A_33_P3388855	LRPPRC	leucine-rich PPR-motif containing
A_23_P202245	RET	ret proto-oncogene
A_33_P3252394	GADD45G	growth arrest and DNA-damage-inducible, gamma
A_23_P334608	GUSB	glucuronidase, beta
A_23_P74653	NUDC	nuclear distribution gene C homolog (A. nidulans)
A_23_P115137	HBXIP	hepatitis B virus x interacting protein
A_24_P391586	OAF	OAF homolog (Drosophila)
A_23_P112596	ADK	adenosine kinase
A_23_P215956	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
A_33_P3236137	HYDIN	hydrocephalus inducing homolog (mouse)
A_23_P56228	GMIP	GEM interacting protein
A_24_P108451	GPI	glucose phosphate isomerase
A_24_P210569	SCG3	secretogranin III
A_33_P3246133	HPCA	hippocalcin
A_23_P103765	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide
A_23_P209778	POLR2D	polymerase (RNA) II (DNA directed) polypeptide D
A_33_P3383611	KCP	kielin/chordin-like protein
A_24_P282210	SOLH	small optic lobes homolog (Drosophila)
A_24_P915806	HNMT	histamine N-methyltransferase
A_23_P50678	MATK	megakaryocyte-associated tyrosine kinase
A_23_P102731	SMOX	spermine oxidase
A_23_P502142	FYN	FYN oncogene related to SRC, FGR, YES
A_23_P24104	PLAU	plasminogen activator, urokinase
A_24_P135444	AMFR	autocrine motility factor receptor
A_23_P377291	TGFA	transforming growth factor, alpha
A_23_P169503	CEL	carboxyl ester lipase (bile salt-stimulated lipase)
A_23_P202501	RNLS	renalase, FAD-dependent amine oxidase
A_23_P204609	VEZT	vezatin, adherens junctions transmembrane protein
A_23_P28886	PCNA	proliferating cell nuclear antigen
A_24_P140608	HBEGF	heparin-binding EGF-like growth factor
A_23_P154235	NMI	N-myc (and STAT) interactor
A_23_P110288	GSTCD	glutathione S-transferase, C-terminal domain containing
A_33_P3273664	ARSK	arylsulfatase family, member K
A_23_P208302	APOC2	apolipoprotein C-II
A_23_P120281	EDAR	ectodysplasin A receptor
A_23_P16157	KHSRP	KH-type splicing regulatory protein
A_33_P3299435	SART1	squamous cell carcinoma antigen recognized by T cells
A_23_P9255	SYK	spleen tyrosine kinase
A_23_P252062	PPARG	peroxisome proliferator-activated receptor gamma
A_33_P3275199	JRK	jerky homolog (mouse)
A_23_P40096	PROC	protein C (inactivator of coagulation factors Va and VIIIa)
A_23_P118061	CKLF	chemokine-like factor
A_33_P3255176	LOC100133116	similar to uromodulin-like
A_23_P357546	PNKD	paroxysmal nonkinesigenic dyskinesia
A_23_P73345	MITF	microphthalmia-associated transcription factor
A_23_P256735	PGCP	plasma glutamate carboxypeptidase
A_33_P3305023	WWOX	WW domain containing oxidoreductase
A_23_P12816	HELLS	helicase, lymphoid-specific
A_33_P3841621	MYO5B	myosin VB
A_23_P151598	CPNE6	copine VI (neuronal)
A_23_P120227	LBH	limb bud and heart development homolog (mouse)
A_23_P254179	ADNP	activity-dependent neuroprotector homeobox
A_33_P3229402	PECAM1	platelet/endothelial cell adhesion molecule
A_23_P107132	RCVRN	recoverin
A_33_P3235217	CTPS	CTP synthase
A_23_P100868	MYO19	myosin XIX
A_23_P114934	MAEL	maelstrom homolog (Drosophila)
A_23_P203013	NPAT	nuclear protein, ataxia-telangiectasia locus
A_23_P334608	GUSB	glucuronidase, beta
A_23_P354074	LYST	lysosomal trafficking regulator
A_33_P3215457	MTTP	microsomal triglyceride transfer protein
A_33_P3223182	LOC220115	TPTE and PTEN homologous inositol lipid phosphatase pseudogene
A_33_P3381338	TNXB	tenascin XB
A_33_P3237784	PORCN	porcupine homolog (Drosophila)
A_23_P215913	CLU	clusterin
A_33_P3363485	SOBP	sine oculis binding protein homolog (Drosophila)
A_33_P3391455	SCN5A	sodium channel, voltage-gated, type V, alpha subunit
A_23_P397376	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
A_23_P53467	IKBIP	IKBKB interacting protein
A_23_P35916	ATM	ataxia telangiectasia mutated
A_23_P94879	F2	coagulation factor II (thrombin)
A_24_P330518	CA12	carbonic anhydrase XII
A_33_P3390625	LOC220115	TPTE and PTEN homologous inositol lipid phosphatase pseudogene
A_23_P209799	MYO7B	myosin VIIB
A_23_P217737	ATP7A	ATPase, Cu++ transporting, alpha polypeptide
A_23_P150857	SUOX	sulfite oxidase
A_23_P103110	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
A_33_P3279470	AGRP	agouti related protein homolog (mouse)
A_23_P58132	RHOH	ras homolog gene family, member H
A_23_P91552	FTCD	formiminotransferase cyclodeaminase
A_33_P3345036	POMC	proopiomelanocortin
A_23_P102017	ERMN	ermin, ERM-like protein
A_33_P3236591	RLTPR	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing
A_23_P80940	PPAT	phosphoribosyl pyrophosphate amidotransferase
A_23_P12053	SPEN	spen homolog, transcriptional regulator (Drosophila)
A_23_P98183	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
A_23_P258310	PXDNL	peroxidasin homolog (Drosophila)-like
A_33_P3221489	KIRREL	kin of IRRE like (Drosophila)
A_33_P3251751	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)
A_23_P105833	BIVM	basic, immunoglobulin-like variable motif containing
A_33_P3370944	RAX	retina and anterior neural fold homeobox
A_33_P3271470	GREB1L	growth regulation by estrogen in breast cancer-like
A_23_P117662	HDC	histidine decarboxylase
A_23_P100074	AVEN	apoptosis, caspase activation inhibitor
A_23_P10506	HPGDS	hematopoietic prostaglandin D synthase
A_33_P3255794	POLE	polymerase (DNA directed), epsilon
A_24_P164998	LOC646627	phospholipase inhibitor
A_23_P103349	OCLM	oculomedin
A_23_P102172	CPO	carboxypeptidase O
A_23_P2294	HELB	helicase (DNA) B
A_23_P341443	MNT	MAX binding protein
A_33_P3221783	TSLP	thymic stromal lymphopoietin
A_33_P3371785	DTNA	dystrobrevin, alpha
A_24_P117029	LDLR	low density lipoprotein receptor
A_23_P90130	NAPSA	napsin A aspartic peptidase
A_33_P3256033	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence
A_23_P327022	MDFIC	MyoD family inhibitor domain containing
A_23_P318300	ZAK	sterile alpha motif and leucine zipper containing kinase AZK
A_23_P368645	AGPS	alkylglycerone phosphate synthase
A_23_P71316	RBPMS	RNA binding protein with multiple splicing
A_23_P100074	AVEN	apoptosis, caspase activation inhibitor
A_33_P3671378	CERCAM	cerebral endothelial cell adhesion molecule
A_33_P3413741	OXTR	oxytocin receptor
A_23_P1145	MTPAP	mitochondrial poly(A) polymerase
A_23_P40956	GHRL	ghrelin/obestatin prepropeptide
A_23_P84230	OTP	orthopedia homeobox
A_23_P164047	MMD	monocyte to macrophage differentiation-associated
A_33_P3366053	ADPRH	ADP-ribosylarginine hydrolase
A_33_P3269718	IVD	isovaleryl Coenzyme A dehydrogenase
A_24_P255471	SYT9	synaptotagmin IX
A_23_P59179	RXRB	retinoid X receptor, beta
A_23_P112061	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
A_32_P203515	CYTSA	cytospin A
A_23_P103720	AGMAT	agmatine ureohydrolase (agmatinase)
A_23_P1145	MTPAP	mitochondrial poly(A) polymerase
A_23_P115137	HBXIP	hepatitis B virus x interacting protein
A_23_P253484	AADAT	aminoadipate aminotransferase
A_23_P164258	PIPOX	pipecolic acid oxidase
A_24_P942354	PITPNA	phosphatidylinositol transfer protein, alpha
A_23_P408095	DSTN	destrin (actin depolymerizing factor)
A_33_P3358750	MYBPHL	myosin binding protein H-like
A_23_P133691	RRAGD	Ras-related GTP binding D
A_23_P120281	EDAR	ectodysplasin A receptor
A_33_P3246885	DMKN	dermokine
A_23_P156907	SOBP	sine oculis binding protein homolog (Drosophila)
A_23_P53276	TIMELESS	timeless homolog (Drosophila)
A_33_P3291510	VCY	variable charge, Y-linked
A_33_P3308468	UPB1	ureidopropionase, beta
A_23_P400235	MUT	methylmalonyl Coenzyme A mutase
A_23_P135769	ACTB	actin, beta
A_23_P115137	HBXIP	hepatitis B virus x interacting protein
A_23_P118571	SOST	sclerosteosis
A_23_P100868	MYO19	myosin XIX
A_33_P3243028	DSPP	dentin sialophosphoprotein
A_23_P70148	NNT	nicotinamide nucleotide transhydrogenase
A_23_P12053	SPEN	spen homolog, transcriptional regulator (Drosophila)
A_23_P35444	INA	internexin neuronal intermediate filament protein, alpha
A_23_P3312	ISLR	immunoglobulin superfamily containing leucine-rich repeat
A_33_P3224423	POLM	polymerase (DNA directed), mu
A_24_P397817	LEP	leptin
A_33_P3267577	SEMG1	semenogelin I
A_23_P158555	SCN10A	sodium channel, voltage-gated, type X, alpha subunit
A_23_P114155	GPKOW	G patch domain and KOW motifs
A_33_P3364776	LOC723805	interleukin-like
A_23_P110531	FST	follistatin
A_33_P3336484	NPIP	nuclear pore complex interacting protein
A_33_P3361771	TPR	translocated promoter region (to activated MET oncogene)
A_23_P105833	BIVM	basic, immunoglobulin-like variable motif containing
A_23_P117298	F7	coagulation factor VII (serum prothrombin conversion accelerator)
A_23_P91019	PRKRA	protein kinase, interferon-inducible double stranded RNA dependent activator
A_33_P3382849	ACR	acrosin
A_23_P127584	NNMT	nicotinamide N-methyltransferase
A_23_P27075	GABARAP	GABA(A) receptor-associated protein
A_23_P314120	CHKB	choline kinase beta
A_23_P79591	APOB	apolipoprotein B (including Ag(x) antigen)
A_23_P208030	SYT4	synaptotagmin IV
A_23_P32143	ALDOB	aldolase B, fructose-bisphosphate
A_23_P108734	ALLC	allantoicase
A_33_P3364488	FCAMR	Fc receptor, IgA, IgM, high affinity
A_23_P364517	SELK	selenoprotein K
A_23_P217015	SET	SET nuclear oncogene
A_33_P3358208	PADI1	peptidyl arginine deiminase, type I
A_33_P3339138	RPRML	reprimo-like
A_23_P359245	MET	met proto-oncogene (hepatocyte growth factor receptor)
A_33_P3411090	ADAL	adenosine deaminase-like
A_23_P94932	MMADHC	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria
A_23_P83266	ENDOG	endonuclease G
A_33_P3391791	MOG	myelin oligodendrocyte glycoprotein
A_23_P108948	MREG	melanoregulin
A_23_P10559	AATK	apoptosis-associated tyrosine kinase
A_23_P131417	HDLBP	high density lipoprotein binding protein
A_23_P127565	LAYN	layilin
A_33_P3287785	NEFL	neurofilament, light polypeptide
A_23_P19313	TBP	TATA box binding protein
A_24_P941322	QKI	quaking homolog, KH domain RNA binding (mouse)
A_23_P112296	DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
A_23_P430558	CHRND	cholinergic receptor, nicotinic, delta
A_33_P3214501	AEN	apoptosis enhancing nuclease
A_23_P100141	UNKL	unkempt homolog (Drosophila)-like
A_23_P129101	HEXA	hexosaminidase A (alpha polypeptide)
A_23_P5853	SAG	S-antigen; retina and pineal gland (arrestin)
A_23_P349127	CDAN1	congenital dyserythropoietic anemia, type I
A_23_P203558	HBB	hemoglobin, beta
A_33_P3381684	TCHH	trichohyalin
A_23_P128362	MYBPC1	myosin binding protein C, slow type
A_23_P502142	FYN	FYN oncogene related to SRC, FGR, YES
A_24_P200427	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
A_23_P155989	CENPK	centromere protein K
A_23_P119964	CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta
A_24_P246943	PPIA	peptidylprolyl isomerase A (cyclophilin A)
A_23_P167349	GC	group-specific component (vitamin D binding protein)
A_24_P172768	GMFB	glia maturation factor, beta
A_23_P148484	RLIM	ring finger protein, LIM domain interacting
A_23_P129064	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
A_23_P429998	FOSB	FBJ murine osteosarcoma viral oncogene homolog B
A_23_P500000	SCEL	sciellin
A_23_P313828	CENPV	centromere protein V
A_33_P3308105	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
A_33_P3244347	PC	pyruvate carboxylase
A_23_P115346	LGTN	ligatin
A_33_P3408152	NEFH	neurofilament, heavy polypeptide
A_32_P181638	BVES	blood vessel epicardial substance
A_24_P544882	SSR1	signal sequence receptor, alpha
A_23_P45166	PROSC	proline synthetase co-transcribed homolog (bacterial)
A_23_P113634	CBFB	core-binding factor, beta subunit
A_33_P3368706	NFYC	nuclear transcription factor Y, gamma
A_23_P123596	GLDC	glycine dehydrogenase (decarboxylating)
A_23_P35916	ATM	ataxia telangiectasia mutated
A_23_P98085	PTEN	phosphatase and tensin homolog
A_23_P24104	PLAU	plasminogen activator, urokinase
A_33_P3303572	EDA	ectodysplasin A
A_23_P416894	PION	pigeon homolog (Drosophila)
A_23_P100074	AVEN	apoptosis, caspase activation inhibitor
A_23_P102364	NGEF	neuronal guanine nucleotide exchange factor
A_23_P130182	AURKB	aurora kinase B
A_33_P3238157	MYO18A	myosin XVIIIA
A_23_P312851	SILV	silver homolog (mouse)
A_23_P251412	SCGN	secretagogin, EF-hand calcium binding protein
A_24_P232545	HEPACAM	hepatocyte cell adhesion molecule
A_24_P281395	LOC642521	similar to nuclear DNA-binding protein			
A_33_P3334220	ACACB	acetyl-Coenzyme A carboxylase beta
A_23_P402733	SON	SON DNA binding protein
A_24_P319923	MYLK	myosin light chain kinase
A_24_P144439	EFHB	EF-hand domain family, member B
A_23_P110851	TERT	telomerase reverse transcriptase
A_23_P73142	TACO1	translational activator of mitochondrially encoded cytochrome c oxidase I
A_23_P112103	GSDMD	gasdermin D
A_33_P3223497	FRY	furry homolog (Drosophila)
A_23_P28886	PCNA	proliferating cell nuclear antigen
A_23_P502142	FYN	FYN oncogene related to SRC, FGR, YES
A_23_P202104	PPIF	peptidylprolyl isomerase F
A_23_P121459	THPO	thrombopoietin
A_23_P118571	SOST	sclerosteosis
A_33_P3391895	HRNR	hornerin
A_23_P146233	LPL	lipoprotein lipase
A_23_P35609	UROS	uroporphyrinogen III synthase
A_23_P118061	CKLF	chemokine-like factor
A_33_P3352382	ARG1	arginase, liver
A_23_P109143	PRNP	prion protein
A_33_P3364864	NAMPT	nicotinamide phosphoribosyltransferase
A_23_P53137	HBG1	hemoglobin, gamma A
A_23_P108699	FSHR	follicle stimulating hormone receptor
A_24_P148094	LEPROT	leptin receptor overlapping transcript
A_23_P200216	MAGOH	mago-nashi homolog, proliferation-associated (Drosophila)
A_33_P3251289	SELS	selenoprotein S
A_33_P3265783	STATH	statherin
A_23_P31671	UQCRB	ubiquinol-cytochrome c reductase binding protein
A_23_P170518	DYM	dymeclin
A_23_P48676	PYGL	phosphorylase, glycogen, liver
A_33_P3269899	RECK	reversion-inducing-cysteine-rich protein with kazal motifs
A_23_P215060	PODXL	podocalyxin-like
A_23_P203183	APOC3	apolipoprotein C-III
A_33_P3253804	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta
